,positie,vorige positie,weken,titel,artiest
0,1,1,11,As It Was,Harry Styles
1,2,2,15,Bam Bam,Camila Cabello feat. Ed Sheeran
2,3,3,10,Ferrari,James Hype & Miggy Dela Rosa
3,4,4,7,Automatisch,Flemming
4,5,7,10,Love Myself,Rondé
5,6,5,13,Trompeta,Willy William
6,7,8,6,In The Stars,Benson Boone
7,8,10,9,Crazy What Love Can Do,David Guetta & Becky Hill & Ella Henderson
8,9,25,2,Olivia,Antoon
9,10,9,20,In The Dark,Purple Disco Machine + Sophie And The Giants
10,11,6,17,Where Did You Go?,Jax Jones featuring MNEK
11,12,15,3,Late Night Talking,Harry Styles
12,13,13,9,Belly Dancer,Imanbek & Byor
13,14,12,19,Anyone For You (Tiger Lily),George Ezra
14,15,16,5,Supermodel,Måneskin
15,16,19,11,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller"
16,17,28,13,Running Up That Hill,Kate Bush
17,18,14,17,Melody,Sigala
18,19,20,7,Green Green Grass,George Ezra
19,20,11,15,De Diepte,S10
20,21,17,6,About Damn Time,Lizzo
21,22,30,8,Come Around Again,Armin Van Buuren & Billen Ted feat. JC Stewart
22,23,37,2,I Want You,La Fuente
23,24,18,11,Complete Mess,5 Seconds Of Summer
24,25,22,11,When You're Gone,Shawn Mendes
25,26,29,4,Through The Looking Glass,Di-Rect
26,27,27,4,Heaven Takes You Home,Swedish House Mafia & Connie Constance
27,28,24,7,Maybe You're The Problem,Ava Max
28,29,40,2,I Ain't Worried,OneRepublic
29,30,26,8,Thousand Miles,The Kid Laroi
30,31,31,3,Potion,"Calvin Harris, Dua Lipa & Young Thug"
31,32,32,5,Hold My Hand,Lady Gaga
32,33,23,12,Vanavond (Uit M'n Bol),"Kris Kross Amsterdam, Donnie & Tino Martin"
33,34,33,15,Dancing Feet,Kygo ft. DNCE
34,35,21,14,Honderd Keer,Suzan & Freek
35,36,-,1,Ik Ben Kachel,OBZ
36,37,-,1,Questions,Lost Frequencies & James Arthur
37,38,34,4,Space Man,Sam Ryder
38,39,-,1,Words,Alesso & Zara Larsson
39,40,39,9,Remind Me,Tom Grennan
40,-,35,4,Solo,Zoë Tauran feat. Bilal Wahib
41,-,36,13,Bones,Imagine Dragons
42,-,38,17,She's All I Wanna Be,Tate McRae
